relh,drct,sknt,alti,vsby,temp_c,dewpoint_c,feel_c
47.52,10,8,29.97,6.21,26,14,26
50.43,350,7,29.91,6.21,25,14,25
54.05,50,10,30,6.21,26,16,26
54.3,20,10,30.06,6.21,27,17,27.68888889
57.36,10,12,30,3.73,25,16,25
50.17,350,9,29.97,6.21,24,13,24
44.25,10,9,29.94,6.21,25,12,25
43.97,50,8,29.91,6.21,24,11,24
41.42,350,3,29.94,6.21,25,11,25
36.22,40,8,29.97,6.21,25,9,25
39.02,30,9,30,6.21,26,11,26
50.69,20,9,30.03,2.49,26,15,26
36.79,50,14,30.03,6.21,27,11,27
25.26,10,3,29.97,6.21,30,8,28.45555556
47.79,330,4,30.03,1.24,27,15,27.28333333
41.69,330,6,30.06,2.49,26,12,26
36.51,30,10,30.03,6.21,26,10,26
46.98,340,3,30.03,1.86,24,12,24
44.25,310,6,30,0.47,25,12,25
64.48,310,5,29.97,1.24,22,15,22
49.37,310,4,30,6.21,21,10,21
53.03,320,9,30,6.21,22,12,22
53.03,10,6,30.06,2.49,22,12,22
53.03,350,7,29.97,2.49,22,12,22
43.97,210,16,29.83,2.49,24,11,24
52.51,210,14,29.68,0.75,20,10,20
38.56,250,25,29.74,0.31,15,1,15
36.74,210,12,30.06,6.21,18,3,18
29.92,210,15,30.03,6.21,19,1,19
18.55,200,12,29.91,2.49,22,-3,20.73888889
17.7,200,9,29.88,2.49,24,-2,22.91666667
28.68,200,7,29.91,2.49,22,3,21.00555556
39.43,240,5,30.09,1.86,18,4,18
49.1,350,9,30.12,6.21,20,9,20
52.77,30,13,30.12,6.21,21,11,21
53.29,30,13,30.06,6.21,23,13,23
60.67,10,11,30.06,3.73,23,15,23
56.63,20,9,30.03,6.21,22,13,22
49.9,40,5,30.06,6.21,23,12,23
33.57,50,10,30.03,6.21,24,7,23.33333333
27.53,50,9,30,6.21,25,5,24.27222222
14.59,240,2,29.91,6.21,26,-3,25.03888889
32.18,240,3,29.85,2.49,27,9,27
42.57,90,10,29.77,6.21,19,6,19
60.44,320,11,29.88,3.73,22,14,22
49.1,270,8,30.06,6.21,20,9,20
55.63,260,5,30.09,6.21,18,9,18
48.83,60,6,30,6.21,19,8,19
52.51,300,5,29.88,3.73,20,10,20
34.8,230,11,29.94,3.73,20,4,20
52.51,300,5,30.03,6.21,20,10,20
52.25,360,9,30.12,3.73,19,9,19
55.88,350,7,30.15,6.21,19,10,19
48.55,290,9,30.12,6.21,18,7,18
52.25,340,5,30.18,3.73,19,9,19
59.74,300,6,30.21,6.21,19,11,19
59.97,360,4,30.12,2.49,20,12,20
45.88,60,8,29.94,6.21,20,8,20
45.6,280,7,29.83,3.73,19,7,19
51.98,210,9,29.85,1.86,18,8,18
72.2,210,6,29.94,1.86,16,11,16
59.74,200,11,30.03,3.73,19,11,19
59.01,180,10,29.85,6.21,16,8,16
63.6,320,9,29.91,2.49,18,11,18
55.88,350,6,30,3.11,19,10,19
49.1,40,5,30.03,6.21,20,9,20
37.61,70,5,30.06,3.73,21,6,21
40,350,4,30.09,6.21,20,6,20
49.1,10,8,30.09,3.73,20,9,20
45.6,20,9,30.06,6.21,19,7,19
59.74,270,4,29.94,6.21,19,11,19
40.29,180,7,29.94,6.21,21,7,21
56.38,300,10,29.97,6.21,21,12,21
33.57,210,6,30,6.21,24,7,23.33333333
33.29,270,8,29.85,2.49,23,6,22.22222222
49.37,290,12,29.91,6.21,21,10,21
42.57,260,10,29.94,6.21,19,6,19
43.13,50,9,29.83,6.21,21,8,21
34.51,340,8,30,6.21,19,3,19
25.95,190,15,29.85,6.21,26,5,25.33333333
46.43,300,5,30,6.21,22,10,22
67.75,40,6,30.12,3.73,17,11,17
43.13,60,16,30.03,6.21,21,8,21
63.82,20,9,29.94,6.21,19,12,19
45.6,350,9,29.97,6.21,19,7,19
52.25,270,7,29.97,6.21,19,9,19
59.5,230,10,29.91,6.21,18,10,18
42.85,310,10,30.03,6.21,20,7,20
