dwpf,relh,drct,alti,vsby,feel,temp_c
28.4,74.8,350.0,30.09,6.21,30.67,2.000000000000001
26.6,80.22,360.0,30.24,6.21,26.4,0.0
28.0,75.31,150.0,30.24,10.0,28.51,1.6666666666666667
32.54,74.16,160.0,30.24,11.0,32.7,4.444444444444445
44.6,93.4,160.0,30.03,1.12,45.15,8.0
47.66,95.39,140.0,30.03,2.0,48.92,9.444444444444445
42.8,87.19,80.0,30.24,3.73,44.24,8.0
39.2,81.2,40.0,30.33,4.35,43.09,7.000000000000001
42.44,91.44,340.0,30.33,4.0,41.57,7.1000000000000005
33.8,80.79,20.0,30.33,6.21,35.83,4.000000000000002
27.86,70.11,140.0,30.33,10.0,31.95,2.5999999999999996
37.4,86.89,140.0,29.77,6.21,36.37,5.0
43.34,94.65,240.0,29.77,5.0,39.86,7.1000000000000005
41.0,96.58,350.0,29.77,1.0,40.01,5.555555555555555
48.38,89.83,200.0,29.77,11.0,51.26,10.699999999999998
46.76,87.39,220.0,29.77,14.0,50.36,10.2
32.0,61.03,260.0,29.91,6.21,39.63,7.000000000000001
41.72,81.39,180.0,29.91,13.0,40.65,8.399999999999999
42.8,87.19,280.0,29.56,6.21,41.03,8.0
50.0,81.99,250.0,29.8,6.21,55.4,13.0
51.8,82.12,240.0,29.83,6.21,57.2,14.000000000000002
50.0,87.56,230.0,29.77,6.21,53.6,12.0
45.32,75.4,220.0,29.77,11.0,52.88,11.600000000000001
47.3,77.6,200.0,29.77,16.0,54.14,12.3
47.84,96.68,250.0,29.77,8.0,46.28,9.300000000000002
37.0,73.09,310.0,29.77,11.0,39.45,7.300000000000001
37.22,74.63,320.0,29.77,10.0,41.57,7.1000000000000005
37.22,85.09,360.0,29.77,7.0,38.35,5.199999999999999
37.0,89.97,340.0,29.77,5.0,35.59,4.300000000000001
37.4,75.68,20.0,30.56,6.21,38.77,7.000000000000001
41.0,81.34,10.0,30.53,6.21,42.87,8.0
39.2,81.2,360.0,30.5,6.21,40.71,7.000000000000001
41.18,80.26,280.0,30.5,14.0,42.09,8.333333333333334
41.0,87.09,30.0,29.77,2.73,40.71,7.000000000000001
28.58,69.69,50.0,29.77,12.0,30.45,3.099999999999999
21.2,55.41,70.0,30.21,6.21,26.58,2.000000000000001
26.6,69.46,50.0,30.18,6.21,29.17,2.000000000000001
28.58,60.14,60.0,30.18,19.0,36.19,5.199999999999999
28.22,62.23,260.0,30.18,9.0,40.1,4.444444444444445
41.0,81.34,270.0,30.27,6.21,41.42,8.0
47.0,86.82,250.0,30.27,10.0,50.72,10.399999999999999
39.2,66.27,230.0,30.27,6.21,50.0,10.0
45.5,73.45,240.0,30.27,11.0,53.78,12.100000000000001
46.4,71.64,240.0,30.06,6.21,55.4,13.0
44.6,71.45,230.0,30.12,6.21,53.6,12.0
44.42,70.5,240.0,30.12,17.0,53.78,12.100000000000001
33.8,53.54,240.0,30.21,6.21,48.44,10.0
41.0,71.07,160.0,30.06,6.21,46.29,10.0
50.0,93.55,200.0,29.83,6.21,51.8,10.999999999999998
48.2,76.66,230.0,29.85,6.21,55.4,13.0
37.4,57.77,270.0,29.88,6.21,51.8,10.999999999999998
42.8,83.71,170.0,29.88,17.0,40.59,8.599999999999998
33.8,53.54,210.0,29.56,6.21,45.21,10.0
