dwpf,relh,drct,sknt,alti,vsby,feel,temp_c
42.8,24.72,360.0,7.0,30.18,6.21,80.39,28.000000000000004
24.8,12.03,350.0,12.0,30.09,6.21,79.79,28.000000000000004
24.8,13.54,330.0,8.0,30.03,6.21,77.02,26.0
33.8,19.55,50.0,3.0,30.0,6.21,77.3,26.0
51.8,36.79,150.0,5.0,30.0,6.21,80.6,26.999999999999996
44.6,28.08,180.0,10.0,30.06,6.21,79.42,26.999999999999996
48.2,28.63,150.0,3.0,30.15,6.21,82.04,29.0
44.6,26.49,290.0,4.0,30.15,6.21,80.5,28.000000000000004
37.4,20.04,330.0,5.0,30.06,6.21,80.14,28.000000000000004
28.4,13.18,320.0,10.0,29.97,6.21,81.25,29.0
28.4,13.18,330.0,10.0,30.06,6.21,81.25,29.0
33.8,17.38,310.0,7.0,30.12,6.21,80.03,28.000000000000004
51.8,41.42,80.0,4.0,30.09,6.21,77.0,25.0
39.2,24.19,150.0,6.0,30.09,6.21,77.52,26.0
44.6,28.08,0.0,0.0,30.12,6.21,79.42,26.999999999999996
39.2,24.19,0.0,0.0,30.12,6.21,77.52,26.0
30.2,15.94,340.0,12.0,30.0,6.21,78.77,26.999999999999996
33.8,18.42,310.0,12.0,29.94,6.21,78.88,26.999999999999996
26.6,14.59,320.0,6.0,29.88,6.21,77.07,26.0
24.8,15.25,310.0,12.0,30.0,6.21,73.14,24.0
30.2,19.05,350.0,5.0,30.09,6.21,73.32,24.0
41.0,27.53,310.0,3.0,30.15,6.21,75.69,25.0
39.2,27.26,0.0,0.0,30.12,6.21,73.7,24.0
24.8,15.25,340.0,5.0,30.12,6.21,73.14,24.0
24.8,15.25,340.0,8.0,30.12,6.21,73.14,24.0
28.4,18.8,30.0,10.0,30.12,6.21,71.32,23.000000000000004
28.4,17.7,360.0,10.0,30.12,6.21,73.25,24.0
37.4,23.93,320.0,4.0,30.12,6.21,75.52,25.0
28.4,18.8,310.0,8.0,30.15,6.21,71.32,23.000000000000004
26.6,15.48,340.0,8.0,30.15,6.21,75.13,25.0
19.4,11.44,350.0,9.0,30.12,6.21,74.94,25.0
19.4,12.14,360.0,7.0,30.03,6.21,72.99,24.0
32.0,21.76,40.0,3.0,29.97,6.21,71.46,23.000000000000004
30.2,20.23,170.0,6.0,30.03,6.21,71.39,23.000000000000004
41.0,29.23,330.0,2.0,30.06,6.21,73.79,24.0
28.4,17.7,140.0,5.0,30.03,4.97,73.25,24.0
39.2,27.26,150.0,7.0,29.94,6.21,73.7,24.0
41.0,25.95,250.0,10.0,29.85,6.21,77.6,26.0
37.4,21.25,200.0,7.0,29.88,4.97,79.02,26.999999999999996
42.8,27.81,280.0,8.0,30.0,6.21,77.69,26.0
24.8,22.06,10.0,9.0,30.18,2.49,64.4,18.000000000000004
37.4,32.43,0.0,0.0,30.12,3.11,68.0,20.0
42.8,29.51,150.0,5.0,30.09,4.97,75.79,25.0
39.2,25.67,140.0,5.0,30.09,6.21,75.61,25.0
19.4,11.44,150.0,7.0,30.03,4.97,74.94,25.0
33.8,20.74,0.0,0.0,30.03,6.21,75.37,25.0
37.4,28.68,110.0,7.0,30.15,6.21,69.81,21.999999999999996
37.4,28.68,360.0,5.0,30.21,6.21,69.81,21.999999999999996
35.6,26.71,340.0,5.0,30.12,6.21,69.72,21.999999999999996
33.8,26.43,320.0,9.0,30.03,6.21,69.8,21.0
35.6,28.39,70.0,3.0,30.03,6.21,69.8,21.0
39.2,27.26,330.0,4.0,30.03,6.21,73.7,24.0
35.6,26.71,310.0,4.0,30.06,6.21,69.72,21.999999999999996
23.0,18.06,320.0,6.0,30.09,6.21,68.0,20.0
26.6,23.77,140.0,1.0,30.12,6.21,64.4,18.000000000000004
24.8,22.06,170.0,8.0,30.15,6.21,64.4,18.000000000000004
32.0,27.83,150.0,15.0,30.06,2.17,66.2,19.0
35.6,25.13,240.0,9.0,29.97,6.21,71.62,23.000000000000004
42.8,40.0,0.0,0.0,30.09,6.21,68.0,20.0
33.8,29.92,120.0,3.0,30.09,6.21,66.2,19.0
39.2,32.72,160.0,5.0,30.09,6.21,69.8,21.0
33.8,24.86,160.0,11.0,30.03,6.21,69.63,21.999999999999996
37.4,25.4,190.0,8.0,29.94,4.97,73.61,24.0
39.2,28.96,360.0,5.0,30.03,6.21,71.8,23.000000000000004
44.6,40.29,100.0,5.0,30.06,6.21,69.8,21.0
44.6,40.29,160.0,8.0,29.97,6.21,69.8,21.0
35.6,26.71,250.0,9.0,29.94,4.35,69.72,21.999999999999996
28.4,27.27,200.0,8.0,30.15,6.21,62.6,17.0
28.4,24.04,330.0,5.0,30.09,6.21,66.2,19.0
35.6,34.22,360.0,4.0,30.09,6.21,64.4,18.000000000000004
32.0,29.63,120.0,5.0,30.03,6.21,64.4,18.000000000000004
28.4,24.04,140.0,8.0,29.94,6.21,66.2,19.0
37.4,23.93,160.0,9.0,29.83,4.97,75.52,25.0
32.0,31.56,30.0,10.0,30.06,6.21,62.6,17.0
33.8,36.16,70.0,6.0,30.06,6.21,60.8,16.0
42.8,76.18,120.0,3.0,30.06,6.21,49.27,10.0
55.4,77.29,150.0,4.0,29.91,3.73,62.6,17.0
44.6,62.69,10.0,3.0,30.12,4.97,57.2,14.000000000000002
39.2,58.02,50.0,5.0,30.15,4.97,53.6,12.0
37.4,41.71,70.0,4.0,30.15,6.21,60.8,16.0
39.2,39.43,130.0,5.0,30.15,6.21,64.4,18.000000000000004
41.0,39.72,140.0,6.0,30.15,6.21,66.2,19.0
46.4,55.37,150.0,10.0,30.06,4.35,62.6,17.0
51.8,52.77,160.0,10.0,30.0,4.97,69.8,21.0
53.6,82.25,60.0,5.0,30.18,6.21,59.0,15.0
55.4,56.63,160.0,10.0,30.0,3.11,71.6,21.999999999999996
51.8,39.02,210.0,14.0,29.85,4.35,78.8,26.0
37.4,21.25,280.0,9.0,29.83,6.21,79.02,26.999999999999996
48.2,38.46,340.0,4.0,29.88,4.97,75.2,24.0
33.8,22.02,230.0,15.0,29.88,4.97,73.46,24.0
28.4,25.6,340.0,8.0,30.12,6.21,64.4,18.000000000000004
37.4,30.49,150.0,6.0,30.12,6.21,69.8,21.0
37.4,18.91,320.0,6.0,29.97,3.73,81.38,29.0
48.2,59.26,40.0,7.0,30.12,6.21,62.6,17.0
42.8,37.61,140.0,4.0,30.03,6.21,69.8,21.0
42.8,27.81,210.0,12.0,29.74,1.24,77.69,26.0
37.4,41.71,320.0,12.0,29.85,6.21,60.8,16.0
42.8,35.37,0.0,0.0,29.83,4.97,70.12,21.999999999999996
37.4,30.49,260.0,17.0,29.8,4.35,69.8,21.0
30.2,25.88,330.0,10.0,30.03,6.21,66.2,19.0
28.4,22.59,340.0,8.0,30.0,6.21,68.0,20.0
33.8,29.92,120.0,6.0,29.94,6.21,66.2,19.0
30.2,22.86,140.0,7.0,29.91,6.21,69.8,21.0
30.2,15.94,240.0,12.0,29.88,4.97,78.77,26.999999999999996
30.2,20.23,350.0,11.0,30.03,1.86,71.39,23.000000000000004
35.6,26.71,320.0,8.0,30.09,6.21,69.72,21.999999999999996
37.4,26.98,130.0,5.0,30.06,6.21,71.71,23.000000000000004
33.8,17.38,180.0,8.0,29.88,6.21,80.03,28.000000000000004
28.4,16.67,330.0,8.0,29.97,4.35,75.18,25.0
23.0,14.15,50.0,7.0,30.03,2.49,73.08,24.0
33.8,18.42,160.0,9.0,29.97,3.11,78.88,26.999999999999996
44.6,22.27,220.0,5.0,29.94,3.73,84.53,31.0
39.2,18.09,160.0,6.0,29.88,4.35,84.22,31.0
37.4,15.92,160.0,12.0,29.83,3.11,85.67,32.0
50.0,32.46,360.0,5.0,29.91,1.86,80.99,28.000000000000004
44.6,28.08,90.0,5.0,29.85,3.11,79.42,26.999999999999996
35.6,21.0,350.0,10.0,29.91,3.11,77.37,26.0
30.2,20.23,330.0,8.0,30.06,6.21,71.39,23.000000000000004
