relh,drct,sknt,alti,vsby,dewpoint_c,feel_c,temp_c
49.1,350,9,30.12,6.21,9,20,20
52.77,30,13,30.12,6.21,11,21,21
53.29,30,13,30.06,6.21,13,23,23
60.67,10,11,30.06,3.73,15,23,23
56.63,20,9,30.03,6.21,13,22,22
49.9,40,5,30.06,6.21,12,23,23
33.57,50,10,30.03,6.21,7,23.33333333,24
27.53,50,9,30,6.21,5,24.27222222,25
14.59,240,2,29.91,6.21,-3,25.03888889,26
32.18,240,3,29.85,2.49,9,27,27
42.57,90,10,29.77,6.21,6,19,19
60.44,320,11,29.88,3.73,14,22,22
49.1,270,8,30.06,6.21,9,20,20
55.63,260,5,30.09,6.21,9,18,18
48.83,60,6,30,6.21,8,19,19
52.51,300,5,29.88,3.73,10,20,20
34.8,230,11,29.94,3.73,4,20,20
52.51,300,5,30.03,6.21,10,20,20
52.25,360,9,30.12,3.73,9,19,19
55.88,350,7,30.15,6.21,10,19,19
48.55,290,9,30.12,6.21,7,18,18
52.25,340,5,30.18,3.73,9,19,19
59.74,300,6,30.21,6.21,11,19,19
59.97,360,4,30.12,2.49,12,20,20
45.88,60,8,29.94,6.21,8,20,20
45.6,280,7,29.83,3.73,7,19,19
51.98,210,9,29.85,1.86,8,18,18
72.2,210,6,29.94,1.86,11,16,16
59.74,200,11,30.03,3.73,11,19,19
59.01,180,10,29.85,6.21,8,16,16
63.6,320,9,29.91,2.49,11,18,18
55.88,350,6,30,3.11,10,19,19
49.1,40,5,30.03,6.21,9,20,20
37.61,70,5,30.06,3.73,6,21,21
40,350,4,30.09,6.21,6,20,20
49.1,10,8,30.09,3.73,9,20,20
45.6,20,9,30.06,6.21,7,19,19
59.74,270,4,29.94,6.21,11,19,19
40.29,180,7,29.94,6.21,7,21,21
56.38,300,10,29.97,6.21,12,21,21
33.57,210,6,30,6.21,7,23.33333333,24
33.29,270,8,29.85,2.49,6,22.22222222,23
49.37,290,12,29.91,6.21,10,21,21
42.57,260,10,29.94,6.21,6,19,19
43.13,50,9,29.83,6.21,8,21,21
34.51,340,8,30,6.21,3,19,19
25.95,190,15,29.85,6.21,5,25.33333333,26
46.43,300,5,30,6.21,10,22,22
67.75,40,6,30.12,3.73,11,17,17
